Rk,Player,Squad_DOM,Club_DOM,Rating_10,MP_DOM,Saves_DOM,SoTA_DOM,SavePct_DOM,CS_DOM,GA90_DOM,Comparative_Story
1,Orlando Gill,Paraguay,1.py San Lorenzo,8.2,20,23,29,79.3,2,1.13,"**World Cup**: 5 MP, 29 SoTA, 23 Saves, 79.3% Save%, 2 CS | **Domestic (San Lorenzo)**: 20 MP, 23 Saves, 79.3% Save%, 2 CS"
2,Diogo Costa,Portugal,1.pt Porto,8.2,33,19,22,86.4,2,0.6,"**World Cup**: 5 MP, 22 SoTA, 19 Saves, 86.4% Save%, 2 CS | **Domestic (Porto)**: 33 MP, 19 Saves, 86.4% Save%, 2 CS"
3,Vozinha,Cabo Verde,2.pt Chaves,7.9,25,18,23,78.3,2,1.15,"**World Cup**: 4 MP, 23 SoTA, 18 Saves, 78.3% Save%, 2 CS | **Domestic (Chaves)**: 25 MP, 18 Saves, 78.3% Save%, 2 CS"
4,Gregor Kobel,Switzerland,Dortmund,7.8,27,88,122,72.1,15,1.0,"**World Cup**: 6 MP, 26 SoTA, 20 Saves, 76.9% Save%, 2 CS | **Domestic (Dortmund)**: 27 MP, 88 Saves, 72.1% Save%, 15 CS"
5,Emiliano Martínez,Argentina,Aston Villa,7.5,34,95,134,70.9,8,1.24,"**World Cup**: 8 MP, 28 SoTA, 20 Saves, 71.4% Save%, 2 CS | **Domestic (Aston Villa)**: 34 MP, 95 Saves, 70.9% Save%, 8 CS"
6,Eloy Room,Curaçao,2.us Miami FC,7.5,22,20,29,69.0,1,3.0,"**World Cup**: 3 MP, 29 SoTA, 20 Saves, 69.0% Save%, 1 CS | **Domestic (Miami FC)**: 22 MP, 20 Saves, 69.0% Save%, 1 CS"
7,Alireza Beiranvand,IR Iran,1.ir Tractor,7.4,22,15,18,83.3,1,1.0,"**World Cup**: 3 MP, 18 SoTA, 15 Saves, 83.3% Save%, 1 CS | **Domestic (Tractor)**: 22 MP, 15 Saves, 83.3% Save%, 1 CS"
8,Mohammed Al-Owais,Saudi Arabia,1.sa Al-Ula,7.3,25,16,21,76.2,1,1.67,"**World Cup**: 3 MP, 21 SoTA, 16 Saves, 76.2% Save%, 1 CS | **Domestic (Al-Ula)**: 25 MP, 16 Saves, 76.2% Save%, 1 CS"
9,Bart Verbruggen,Netherlands,Brighton,7.2,27,103,151,69.5,10,1.21,"**World Cup**: 4 MP, 21 SoTA, 16 Saves, 76.2% Save%, 0 CS | **Domestic (Brighton)**: 27 MP, 103 Saves, 69.5% Save%, 10 CS"
10,Patrick Beach,Australia,1.au Melb City,7.2,24,14,17,82.4,2,0.7,"**World Cup**: 3 MP, 17 SoTA, 14 Saves, 82.4% Save%, 2 CS | **Domestic (Melb City)**: 24 MP, 14 Saves, 82.4% Save%, 2 CS"
11,Alisson,Brazil,Liverpool,7.1,28,57,88,64.8,8,1.19,"**World Cup**: 5 MP, 18 SoTA, 14 Saves, 77.8% Save%, 2 CS | **Domestic (Liverpool)**: 28 MP, 57 Saves, 64.8% Save%, 8 CS"
12,Unai Simón,Spain,Athletic Club,7.0,36,97,151,64.2,6,1.46,"**World Cup**: 8 MP, 11 SoTA, 9 Saves, 90.9% Save%, 7 CS | **Domestic (Athletic Club)**: 36 MP, 97 Saves, 64.2% Save%, 6 CS"
13,Lionel Mpasi,Congo DR,Le Havre,6.8,25,15,17,88.2,1,0.57,"**World Cup**: 3 MP, 19 SoTA, 14 Saves, 73.7% Save%, 0 CS | **Domestic (Le Havre)**: 25 MP, 15 Saves, 88.2% Save%, 1 CS"
