Rk,Player,Squad,Club,Age,MP_WC,Saves_WC,SoTA_WC,SavePct_WC,CS_WC,GA90_WC,MP_DOM,Saves_DOM,SavePct_DOM,CS_DOM,GA90_DOM,Rating,Highlight,Opponents,Local_File,Relative_Path,Avatar,Story
1,Orlando Gill,Paraguay,San Lorenzo,28,5,23,29,79.3,2,1.13,20,23,79.3,2,1.13,8.2,Round of 16,"USA, Australia, Türkiye",gk_22_Orlando_Gill.jpg,goalkeeper_images/gk_22_Orlando_Gill.jpg,goalkeeper_images/gk_22_Orlando_Gill.jpg,"**World Cup**: 5 MP, 29 SoTA, 23 Saves, 79.3% Save%, 2 CS | **Domestic (San Lorenzo)**: 20 MP, 23 Saves, 79.3% Save%, 2 CS"
2,Diogo Costa,Portugal,Porto,28,5,19,22,86.4,2,0.6,33,19,86.4,2,0.6,8.2,Round of 16,"DR Congo, Uzbekistan, Colombia",gk_13_Diogo_Costa.jpg,goalkeeper_images/gk_13_Diogo_Costa.jpg,goalkeeper_images/gk_13_Diogo_Costa.jpg,"**World Cup**: 5 MP, 22 SoTA, 19 Saves, 86.4% Save%, 2 CS | **Domestic (Porto)**: 33 MP, 19 Saves, 86.4% Save%, 2 CS"
3,Vozinha,Cabo Verde,Chaves,28,4,18,23,78.3,2,1.15,25,18,78.3,2,1.15,7.9,Round of 32,"Spain, Uruguay, Saudi Arabia",gk_58_Vozinha.jpg,goalkeeper_images/gk_58_Vozinha.jpg,goalkeeper_images/gk_58_Vozinha.jpg,"**World Cup**: 4 MP, 23 SoTA, 18 Saves, 78.3% Save%, 2 CS | **Domestic (Chaves)**: 25 MP, 18 Saves, 78.3% Save%, 2 CS"
4,Gregor Kobel,Switzerland,Dortmund,28,6,20,26,76.9,2,0.9,27,88,72.1,15,1.0,7.8,Quarterfinalists,"Canada, Bosnia, Qatar",gk_26_Gregor_Kobel.jpg,goalkeeper_images/gk_26_Gregor_Kobel.jpg,goalkeeper_images/gk_26_Gregor_Kobel.jpg,"**World Cup**: 6 MP, 26 SoTA, 20 Saves, 76.9% Save%, 2 CS | **Domestic (Dortmund)**: 27 MP, 88 Saves, 72.1% Save%, 15 CS"
5,Emiliano Martínez,Argentina,Aston Villa,28,8,20,28,71.4,2,0.89,34,95,70.9,8,1.24,7.5,Runners-up (Finalist) 🥈,"Algeria, Austria, Jordan",gk_31_Emiliano_Mart_nez.jpg,goalkeeper_images/gk_31_Emiliano_Mart_nez.jpg,goalkeeper_images/gk_31_Emiliano_Mart_nez.jpg,"**World Cup**: 8 MP, 28 SoTA, 20 Saves, 71.4% Save%, 2 CS | **Domestic (Aston Villa)**: 34 MP, 95 Saves, 70.9% Save%, 8 CS"
6,Eloy Room,Curaçao,Miami FC,28,3,20,29,69.0,1,3.0,22,20,69.0,1,3.0,7.5,Group Stage,"Germany, Ivory Coast, Ecuador",gk_46_Eloy_Room.jpg,goalkeeper_images/gk_46_Eloy_Room.jpg,goalkeeper_images/gk_46_Eloy_Room.jpg,"**World Cup**: 3 MP, 29 SoTA, 20 Saves, 69.0% Save%, 1 CS | **Domestic (Miami FC)**: 22 MP, 20 Saves, 69.0% Save%, 1 CS"
7,Alireza Beiranvand,IR Iran,Tractor,28,3,15,18,83.3,1,1.0,22,15,83.3,1,1.0,7.4,Group Stage,"Belgium, Egypt, New Zealand",gk_08_Alireza_Beiranvand.jpg,goalkeeper_images/gk_08_Alireza_Beiranvand.jpg,goalkeeper_images/gk_08_Alireza_Beiranvand.jpg,"**World Cup**: 3 MP, 18 SoTA, 15 Saves, 83.3% Save%, 1 CS | **Domestic (Tractor)**: 22 MP, 15 Saves, 83.3% Save%, 1 CS"
8,Mohammed Al-Owais,Saudi Arabia,Al-Ula,28,3,16,21,76.2,1,1.67,25,16,76.2,1,1.67,7.3,Group Stage,"Spain, Cabo Verde, Uruguay",gk_41_Mohammed_Al_Owais.jpg,goalkeeper_images/gk_41_Mohammed_Al_Owais.jpg,goalkeeper_images/gk_41_Mohammed_Al_Owais.jpg,"**World Cup**: 3 MP, 21 SoTA, 16 Saves, 76.2% Save%, 1 CS | **Domestic (Al-Ula)**: 25 MP, 16 Saves, 76.2% Save%, 1 CS"
9,Bart Verbruggen,Netherlands,Brighton,28,4,16,21,76.2,0,1.15,27,103,69.5,10,1.21,7.2,Round of 16,"Japan, Sweden, Tunisia",gk_57_Bart_Verbruggen.jpg,goalkeeper_images/gk_57_Bart_Verbruggen.jpg,goalkeeper_images/gk_57_Bart_Verbruggen.jpg,"**World Cup**: 4 MP, 21 SoTA, 16 Saves, 76.2% Save%, 0 CS | **Domestic (Brighton)**: 27 MP, 103 Saves, 69.5% Save%, 10 CS"
10,Patrick Beach,Australia,Melb City,28,3,14,17,82.4,2,0.7,24,14,82.4,2,0.7,7.2,Round of 32,"USA, Paraguay, Türkiye",gk_07_Patrick_Beach.jpg,goalkeeper_images/gk_07_Patrick_Beach.jpg,goalkeeper_images/gk_07_Patrick_Beach.jpg,"**World Cup**: 3 MP, 17 SoTA, 14 Saves, 82.4% Save%, 2 CS | **Domestic (Melb City)**: 24 MP, 14 Saves, 82.4% Save%, 2 CS"
